,id,approach,time,objective,status,gap,constrained,optimal,ratio
55,1257,hdg25,0.51628,2411.597736,OPTIMAL,0.019762,2453.397736,2442.577289,0.00442993
56,1257,hdg5,0.066462,2363.01967,OPTIMAL,0.017511,2435.31467,2442.577289,-0.002973343
57,1257,hyb,0.033927,2475.641373,OPTIMAL,0.013306,2512.579735,2442.577289,0.028659255
58,1257,lr,0.016586,2440.78647,OPTIMAL,0,2489.247361,2442.577289,0.019106897
59,1257,rnd,0.032217,2090.329666,OPTIMAL,0,3034.169665,2442.577289,0.242200064
60,1650,avg,0.03994,1923.741676,OPTIMAL,0,2281.912076,2123.658884,0.07451912
61,1650,grb,1.25849,2123.658884,OPTIMAL,0.018508,2119.838884,2123.658884,-0.001798782
62,1650,hdg10,0.130189,2136.974067,OPTIMAL,0.010094,2153.454067,2123.658884,0.014030117
63,1650,hdg15,0.213867,2104.508946,OPTIMAL,0.018432,2124.748071,2123.658884,0.000512882
64,1650,hdg20,0.456263,2175.988805,OPTIMAL,0.019109,2132.218805,2123.658884,0.004030742
65,1650,hdg25,0.468858,2081.998602,OPTIMAL,0.018546,2130.518602,2123.658884,0.003230141
66,1650,hdg5,0.039461,2074.340919,OPTIMAL,0.014389,2121.680919,2123.658884,-0.000931395
67,1650,hyb,0.026565,2160.752907,OPTIMAL,0.011446,2196.931166,2123.658884,0.034502849
68,1650,lr,0.016422,2136.198246,OPTIMAL,0,2170.02335,2123.658884,0.021832351
69,1650,rnd,0.017814,1852.41649,OPTIMAL,0,2489.85649,2123.658884,0.172437113
70,1785,avg,0.037983,2344.672456,OPTIMAL,0,2713.160856,2560.616981,0.059573094
71,1785,grb,0.928162,2560.616981,OPTIMAL,0.013627,2558.016981,2560.616981,-0.00101538
72,1785,hdg10,0.098728,2590.412748,OPTIMAL,0.012688,2582.592748,2560.616981,0.008582216
73,1785,hdg15,0.236525,2504.832054,OPTIMAL,0.014932,2606.992054,2560.616981,0.018110898
74,1785,hdg20,0.388876,2606.516679,OPTIMAL,0.019656,2585.106679,2560.616981,0.009563983
75,1785,hdg25,0.430011,2526.418158,OPTIMAL,0.010482,2557.098158,2560.616981,-0.001374209
76,1785,hdg5,0.081197,2490.649154,OPTIMAL,0.011862,2582.429154,2560.616981,0.008518327
77,1785,hyb,0.040364,2573.921113,OPTIMAL,0.000731,2623.850186,2560.616981,0.024694519
78,1785,lr,0.042388,2569.95421,OPTIMAL,0,2623.850186,2560.616981,0.024694519
79,1785,rnd,0.047324,2417.261066,OPTIMAL,0,2611.761066,2560.616981,0.019973344
80,1805,avg,0.04431,2122.901189,OPTIMAL,0,2544.285189,2331.925824,0.091066089
81,1805,grb,4.268839,2331.925824,OPTIMAL,0.019578,2327.805824,2331.925824,-0.00176678
82,1805,hdg10,0.06159,2321.640604,OPTIMAL,0.015883,2332.980604,2331.925824,0.000452321
83,1805,hdg15,0.271336,2315.921081,OPTIMAL,0.019434,2332.234414,2331.925824,0.000132333
84,1805,hdg20,0.292707,2326.165144,OPTIMAL,0.018928,2335.785144,2331.925824,0.001654993
85,1805,hdg25,0.483242,2297.523255,OPTIMAL,0.019887,2330.863255,2331.925824,-0.000455662
86,1805,hdg5,0.034812,2232.476874,OPTIMAL,0.01071,2360.676874,2331.925824,0.012329316
87,1805,hyb,0.031128,2350.136845,OPTIMAL,0.00647,2372.088873,2331.925824,0.017223125
88,1805,lr,0.028373,2332.518845,OPTIMAL,0,2372.088873,2331.925824,0.017223125
89,1805,rnd,0.037815,2231.157312,OPTIMAL,0,2386.397312,2331.925824,0.023359014
90,1921,avg,0.05678,2182.948718,OPTIMAL,0,2512.824718,2367.282658,0.061480643
91,1921,grb,0.715969,2367.282658,OPTIMAL,0.019736,2363.622658,2367.282658,-0.001546076
92,1921,hdg10,0.085677,2340.648646,OPTIMAL,0.012078,2363.988646,2367.282658,-0.001391474
93,1921,hdg15,0.125441,2343.330623,OPTIMAL,0.013364,2367.630623,2367.282658,0.000146989
94,1921,hdg20,0.173725,2370.340996,OPTIMAL,0.015508,2363.480996,2367.282658,-0.001605918
95,1921,hdg25,0.246347,2355.036121,OPTIMAL,0.013578,2361.336121,2367.282658,-0.002511967
96,1921,hdg5,0.069013,2342.280657,OPTIMAL,0.010367,2365.660657,2367.282658,-0.000685174
97,1921,hyb,0.054923,2392.190597,OPTIMAL,0.002643,2409.027258,2367.282658,0.017633974
98,1921,lr,0.012172,2396.488831,OPTIMAL,0,2409.027258,2367.282658,0.017633974
99,1921,rnd,0.040676,2060.061866,OPTIMAL,0,2832.161866,2367.282658,0.196376722
100,2263,avg,0.027839,2135.908568,OPTIMAL,0,2512.779368,2352.933821,0.06793457
101,2263,grb,4.488077,2352.933821,OPTIMAL,0.017436,2352.093821,2352.933821,-0.000357001
102,2263,hdg10,0.17331,2353.528676,OPTIMAL,0.016667,2369.188676,2352.933821,0.006908335
103,2263,hdg15,0.164548,2308.409011,OPTIMAL,0.019389,2354.142344,2352.933821,0.000513624
104,2263,hdg20,0.641685,2388.048241,OPTIMAL,0.019817,2354.018241,2352.933821,0.00046088
105,2263,hdg25,0.644767,2343.070187,OPTIMAL,0.019606,2354.230187,2352.933821,0.000550957
106,2263,hdg5,0.074325,2329.126293,OPTIMAL,0.012892,2355.586293,2352.933821,0.001127304
107,2263,hyb,0.044514,2391.346817,OPTIMAL,0.009372,2403.147742,2352.933821,0.021340983
108,2263,lr,0.014915,2379.457412,OPTIMAL,0,2398.117446,2352.933821,0.019203101
109,2263,rnd,0.064555,2016.554311,OPTIMAL,0,2779.314308,2352.933821,0.181212273
110,2318,avg,0.052299,2401.295392,OPTIMAL,0,2746.085792,2598.678617,0.056723896
111,2318,grb,0.567226,2598.678617,OPTIMAL,0.017789,2595.918617,2598.678617,-0.001062078
112,2318,hdg10,0.110639,2587.434269,OPTIMAL,0.019185,2597.314269,2598.678617,-0.000525016
113,2318,hdg15,0.230776,2578.721021,OPTIMAL,0.019757,2600.286541,2598.678617,0.000618747
114,2318,hdg20,0.22519,2644.362751,OPTIMAL,0.019956,2626.662751,2598.678617,0.010768601
115,2318,hdg25,0.41051,2583.911313,OPTIMAL,0.017979,2596.111313,2598.678617,-0.000987927
116,2318,hdg5,0.037939,2625.926429,OPTIMAL,0.008061,2637.166429,2598.678617,0.014810532
117,2318,hyb,0.047822,2631.81158,OPTIMAL,0.007282,2655.34648,2598.678617,0.021806414
118,2318,lr,0.015195,2601.943062,OPTIMAL,0,2630.335577,2598.678617,0.012181945
119,2318,rnd,0.045929,2494.408129,OPTIMAL,0,2645.448129,2598.678617,0.017997421
120,2414,avg,0.03348,2097.687534,OPTIMAL,0,2469.449934,2295.314702,0.075865515
121,2414,grb,2.560553,2295.314702,OPTIMAL,0.019929,2287.374702,2295.314702,-0.003459221
122,2414,hdg10,0.198718,2236.497169,OPTIMAL,0.018228,2310.197169,2295.314702,0.006483846
123,2414,hdg15,0.296359,2275.783442,OPTIMAL,0.016521,2296.536775,2295.314702,0.000532421
124,2414,hdg20,0.372974,2269.932265,OPTIMAL,0.019695,2305.362265,2295.314702,0.004377423
125,2414,hdg25,0.322875,2292.845802,OPTIMAL,0.016886,2287.605802,2295.314702,-0.003358537
126,2414,hdg5,0.090429,2171.325288,OPTIMAL,0.014223,2364.485288,2295.314702,0.030135557
127,2414,hyb,0.026538,2320.138586,OPTIMAL,0.006563,2342.790381,2295.314702,0.020683734
128,2414,lr,0.015929,2301.238009,OPTIMAL,0,2327.390898,2295.314702,0.01397464
129,2414,rnd,0.035903,2199.333567,OPTIMAL,0,2318.653567,2295.314702,0.010168046
130,2659,avg,0.037205,2051.539562,OPTIMAL,0,2410.182362,2242.997527,0.074536344
131,2659,grb,2.979816,2242.997527,OPTIMAL,0.019784,2232.378721,2242.997527,-0.004734203
132,2659,hdg10,0.192651,2219.021311,OPTIMAL,0.017818,2239.701311,2242.997527,-0.001469558
133,2659,hdg15,0.291516,2219.435257,OPTIMAL,0.018524,2258.56859,2242.997527,0.006942078
134,2659,hdg20,0.50071,2238.987565,OPTIMAL,0.019976,2251.737565,2242.997527,0.003896588
135,2659,hdg25,0.796313,2247.90717,OPTIMAL,0.019106,2237.16717,2242.997527,-0.00259936
136,2659,hdg5,0.044595,2166.226842,OPTIMAL,0.012968,2265.986842,2242.997527,0.010249372
137,2659,hyb,0.026379,2308.283177,OPTIMAL,0.011993,2318.111855,2242.997527,0.033488369
138,2659,lr,0.013042,2276.475045,OPTIMAL,0,2299.569113,2242.997527,0.025221421
139,2659,rnd,0.015584,2078.924758,OPTIMAL,0,2374.284758,2242.997527,0.058532044
140,2699,avg,0.040986,2266.522613,OPTIMAL,0,2658.081412,2521.023881,0.05436582
141,2699,grb,7.597408,2521.023881,OPTIMAL,0.017828,2514.743881,2521.023881,-0.002491051
142,2699,hdg10,0.184217,2544.336953,OPTIMAL,0.017478,2522.136953,2521.023881,0.000441516
143,2699,hdg15,0.271693,2528.447328,OPTIMAL,0.019402,2524.836494,2521.023881,0.001512327
144,2699,hdg20,0.560512,2561.485823,OPTIMAL,0.019611,2528.855823,2521.023881,0.003106651
145,2699,hdg25,0.965812,2537.654407,OPTIMAL,0.019022,2527.194407,2521.023881,0.002447627
146,2699,hdg5,0.043614,2493.335714,OPTIMAL,0.018425,2518.555714,2521.023881,-0.000979034
147,2699,hyb,0.040321,2521.816351,OPTIMAL,0.008588,2572.016196,2521.023881,0.020226827
148,2699,lr,0.013728,2502.741613,OPTIMAL,0,2559.055684,2521.023881,0.015085856
149,2699,rnd,0.036243,2161.396587,OPTIMAL,0,2944.896587,2521.023881,0.168135141
150,2870,avg,0.034869,1916.526902,OPTIMAL,0,2257.321301,2101.486779,0.074154415
151,2870,grb,1.75457,2101.486779,OPTIMAL,0.017869,2096.861223,2101.486779,-0.002201087
152,2870,hdg10,0.081138,2055.216486,OPTIMAL,0.016146,2112.536486,2101.486779,0.005258043
153,2870,hdg15,0.170799,2129.037137,OPTIMAL,0.01537,2096.823804,2101.486779,-0.002218893
154,2870,hdg20,0.35156,2067.702503,OPTIMAL,0.019012,2110.872842,2101.486779,0.004466392
155,2870,hdg25,0.489632,2092.925974,OPTIMAL,0.018569,2101.125974,2101.486779,-0.00017169
156,2870,hdg5,0.078945,2180.303898,OPTIMAL,0.017117,2166.703898,2101.486779,0.031033799
157,2870,hyb,0.029585,2126.939773,OPTIMAL,0.004713,2161.009643,2101.486779,0.028324168
158,2870,lr,0.013463,2120.653972,OPTIMAL,0,2145.281849,2101.486779,0.020840041
159,2870,rnd,0.014288,1789.216595,OPTIMAL,0,2729.296595,2101.486779,0.298745546
160,3159,avg,0.022438,1971.572356,OPTIMAL,0,2284.591556,2134.825844,0.070153597
161,3159,grb,0.806114,2134.825844,OPTIMAL,0.019935,2132.625844,2134.825844,-0.001030529
162,3159,hdg10,0.138988,2083.448067,OPTIMAL,0.01505,2131.668067,2134.825844,-0.001479173
163,3159,hdg15,0.392593,2096.781184,OPTIMAL,0.017927,2135.241184,2134.825844,0.000194555
164,3159,hdg20,0.43273,2148.694361,OPTIMAL,0.019372,2131.324361,2134.825844,-0.001640173
165,3159,hdg25,0.501007,2141.961511,OPTIMAL,0.019857,2141.810513,2134.825844,0.003271775
166,3159,hdg5,0.032978,2173.832474,OPTIMAL,0.017824,2210.072474,2134.825844,0.035247198
167,3159,hyb,0.036873,2196.965603,OPTIMAL,0.015901,2222.689188,2134.825844,0.041157148
168,3159,lr,0.013577,2163.766397,OPTIMAL,0,2194.164232,2134.825844,0.027795423
169,3159,rnd,0.012047,1813.558261,OPTIMAL,0,2745.318261,2134.825844,0.285968253
170,3185,avg,0.058274,2138.637153,OPTIMAL,0,2496.384353,2341.161741,0.066301533
171,3185,grb,6.333261,2341.161741,OPTIMAL,0.019166,2335.054344,2341.161741,-0.002608704
172,3185,hdg10,0.167042,2329.322218,OPTIMAL,0.016509,2354.682218,2341.161741,0.005775114
173,3185,hdg15,0.133951,2335.230231,OPTIMAL,0.019565,2352.830231,2341.161741,0.00498406
174,3185,hdg20,0.492319,2369.962272,OPTIMAL,0.019648,2337.372272,2341.161741,-0.001618628
